subject,Eword,Erecall,valencemean,arousalmean,Em1word,Em1recall
30,nazi,1,1.6,7.95,lugare�o,0
30,sufrimiento,0,1.95,8.3,piel,1
30,asfixia,1,1.3,8,branquias,1
30,tumor,0,1.33,7.45,cr�neo,0
30,suicida,0,2.15,7.65,edificio,0
30,crimen,0,2.15,7.9,libro,0
31,violacion,1,1.18,8.13,norma,1
31,sida,1,1.45,7.35,fuente,0
31,terrorista,1,1.5,7.6,festival,1
31,sufrimiento,1,1.95,8.3,contacto,0
31,crimen,1,2.15,7.9,libro,0
31,cancer,1,1.23,7.8,sol�rium,1
31,tumor,0,1.33,7.45,inteligencia,0
31,suicida,1,2.15,7.65,torre,1
31,ceguera,1,2.75,6.95,video,0
31,plaga,1,2.3,7,crecimiento,1
31,asfixia,1,1.3,8,oxigeno,1
31,hambruna,1,1.95,7.35,bocata,0
31,traidor,1,2.25,7.15,tipo,1
31,morgue,0,2.9,6.17,caj�n,1
31,nazi,1,1.6,7.95,pasaporte,1
31,amputacion,0,2.1,7.1,articulaci�n,0
31,masacre,0,1.3,6.9,congreso,0
31,asesino,0,2.03,7.6,empleo,0
32,amputacion,1,2.1,7.1,muslo,1
32,asesino,0,2.03,7.6,profesi�n,1
32,crimen,1,2.15,7.9,continuaci�n,0
32,sufrimiento,0,1.95,8.3,terciopelo,1
32,sida,0,1.45,7.35,transferencia,1
32,ceguera,0,2.75,6.95,visi�n,1
32,masacre,1,1.3,6.9,concurrencia,1
32,traidor,1,2.25,7.15,mujer,0
32,morgue,1,2.9,6.17,caja,1
32,asfixia,0,1.3,8,branquias,0
32,suicida,1,2.15,7.65,altillo,0
32,hambruna,0,1.95,7.35,desayuno,1
32,violacion,1,1.18,8.13,pauta,0
32,cancer,1,1.23,7.8,energ�a,1
32,plaga,1,2.3,7,crecimiento,1
32,terrorista,1,1.5,7.6,p�blico,0
32,nazi,1,1.6,7.95,patriotismo,0
32,tumor,1,1.33,7.45,cabeza,1
33,ceguera,1,2.75,6.95,�ptica,0
33,sufrimiento,1,1.95,8.3,piel,0
33,asesino,0,2.03,7.6,banquero,0
33,masacre,1,1.3,6.9,asociaci�n,1
33,nazi,1,1.6,7.95,cultura,0
33,suicida,1,2.15,7.65,tejado,1
33,crimen,1,2.15,7.9,protagonista,1
33,sida,1,1.45,7.35,transmisi�n,0
33,violacion,1,1.18,8.13,pauta,0
33,cancer,1,1.23,7.8,luz,1
33,morgue,1,2.9,6.17,almac�n,0
33,amputacion,0,2.1,7.1,extremidad,0
33,asfixia,1,1.3,8,respiraci�n,1
33,terrorista,0,1.5,7.6,estadio,1
33,hambruna,1,1.95,7.35,despensa,1
33,plaga,0,2.3,7,crecimiento,0
33,traidor,1,2.25,7.15,individuo,0
33,tumor,1,1.33,7.45,imaginaci�n,1
34,crimen,0,2.15,7.9,ficci�n,1
34,ceguera,0,2.75,6.95,lupa,0
34,terrorista,1,1.5,7.6,concierto,1
34,morgue,1,2.9,6.17,caja,1
34,violacion,1,1.18,8.13,regla,1
34,amputacion,1,2.1,7.1,muslo,0
