subject,CRPmean,oddballtype,transition,direction
35,0.17478354978355,E,to,forwards
36,0.15,E,to,forwards
37,0.357142857142857,E,to,forwards
38,0.208333333333333,E,to,forwards
39,0.25,E,to,forwards
40,0.25,E,to,forwards
41,0.2,E,to,forwards
42,0.250238095238095,E,to,forwards
43,0.316666666666667,E,to,forwards
44,0.333333333333333,E,to,forwards
45,0.18,E,to,forwards
46,0.273333333333333,E,to,forwards
47,0.1,E,to,forwards
48,0,E,to,forwards
49,0.216666666666667,E,to,forwards
50,0.153333333333333,E,to,forwards
51,0.15,E,to,forwards
52,0.3,E,to,forwards
53,0.266666666666667,E,to,forwards
54,0.259047619047619,E,to,forwards
55,0.266666666666667,E,to,forwards
56,0.296666666666667,E,to,forwards
57,0.266666666666667,E,to,forwards
58,0.206666666666667,E,to,forwards
59,0.04,E,to,forwards
60,0.5,E,to,forwards
61,0.25,E,to,forwards
62,0.233333333333333,E,to,forwards
63,0.275714285714286,E,to,forwards
64,0.313333333333333,E,to,forwards
65,0.19,E,to,forwards
66,0.216666666666667,E,to,forwards
67,0.216666666666667,E,to,forwards
68,0.123809523809524,E,to,forwards
69,0.188888888888889,E,to,forwards
70,0.166666666666667,E,to,forwards
71,0.25,E,to,forwards
72,0.416666666666667,E,to,forwards
73,0.416666666666667,E,to,forwards
74,0.666666666666667,E,to,forwards
75,0.1,E,to,forwards
4,0.1,E,from,backwards
5,0.5,E,from,backwards
6,0.166666666666667,E,from,backwards
7,0.4375,E,from,backwards
9,0.05,E,from,backwards
10,0.433333333333333,E,from,backwards
11,0.38,E,from,backwards
12,0.666666666666667,E,from,backwards
14,0.106666666666667,E,from,backwards
15,0.54,E,from,backwards
16,0.333333333333333,E,from,backwards
17,0.1,E,from,backwards
18,0.2,E,from,backwards
19,0.25,E,from,backwards
20,0.233333333333333,E,from,backwards
21,0.333333333333333,E,from,backwards
22,0.3,E,from,backwards
23,0.3125,E,from,backwards
24,0.3,E,from,backwards
25,0.35,E,from,backwards
26,0.625,E,from,backwards
27,0.523333333333333,E,from,backwards
28,0.1,E,from,backwards
29,0.223333333333333,E,from,backwards
30,0.25,E,from,backwards
31,0.313333333333333,E,from,backwards
32,0.1,E,from,backwards
33,0.1875,E,from,backwards
34,0.3,E,from,backwards
35,0.366666666666667,E,from,backwards
36,0.263333333333333,E,from,backwards
37,0.6,E,from,backwards
38,0.04,E,from,backwards
39,0.243809523809524,E,from,backwards
40,0.298333333333333,E,from,backwards
41,0.19,E,from,backwards
42,0.2,E,from,backwards
43,0.192857142857143,E,from,backwards
44,0.458333333333333,E,from,backwards
45,0.3,E,from,backwards
46,0.3,E,from,backwards
47,0.18,E,from,backwards
48,0.1,E,from,backwards
49,0.373333333333333,E,from,backwards
50,0.5,E,from,backwards
51,0.316666666666667,E,from,backwards
52,0.6,E,from,backwards
53,0.5,E,from,backwards
54,0.166666666666667,E,from,backwards
55,0.166666666666667,E,from,backwards
56,0.375,E,from,backwards
57,0.333333333333333,E,from,backwards
58,0.666666666666667,E,from,backwards
59,0.233333333333333,E,from,backwards
60,0.26,E,from,backwards
61,0.183333333333333,E,from,backwards
62,0.5,E,from,backwards
63,0.375,E,from,backwards
64,0.12,E,from,backwards
65,0.5,E,from,backwards
66,0.5,E,from,backwards
67,0.28,E,from,backwards
68,0.442857142857143,E,from,backwards
