subject,word,recall,wordposition,valencemean,valencesd,arousalmean,arousalsd
10,cancer,1,E,1.23,0.73,7.8,1.24
10,animal,0,Em1,NaN,NaN,NaN,NaN
10,plaga,0,E,2.3,1.17,7,1.52
10,nervio,0,Em1,NaN,NaN,NaN,NaN
10,sufrimiento,0,E,1.95,1.15,8.3,0.86
10,estadio,1,Em1,NaN,NaN,NaN,NaN
10,terrorista,1,E,1.5,0.88,7.6,1.39
10,articulaci�n,0,Em1,NaN,NaN,NaN,NaN
10,amputacion,1,E,2.1,1.17,7.1,1.45
10,consigna,0,Em1,NaN,NaN,NaN,NaN
10,morgue,1,E,2.9,1.95,6.17,1.93
10,novela,1,Em1,NaN,NaN,NaN,NaN
10,crimen,0,E,2.15,1.17,7.9,1.17
10,norma,1,Em1,NaN,NaN,NaN,NaN
10,violacion,1,E,1.18,0.5,8.13,1.11
10,filosof�a,0,Em1,NaN,NaN,NaN,NaN
10,tumor,1,E,1.33,0.69,7.45,1.05
10,restaurante,0,Em1,NaN,NaN,NaN,NaN
10,hambruna,1,E,1.95,1.31,7.35,1.18
10,gente,0,Em1,NaN,NaN,NaN,NaN
10,masacre,0,E,1.3,0.57,6.9,2.15
10,inmigraci�n,1,Em1,NaN,NaN,NaN,NaN
10,nazi,1,E,1.6,0.88,7.95,1.28
10,emisor,0,Em1,NaN,NaN,NaN,NaN
10,sida,1,E,1.45,0.69,7.35,1.46
10,inhalaci�n,0,Em1,NaN,NaN,NaN,NaN
10,asfixia,0,E,1.3,0.57,8,1.21
10,profesi�n,0,Em1,NaN,NaN,NaN,NaN
10,asesino,1,E,2.03,1.27,7.6,1.73
10,individuo,0,Em1,NaN,NaN,NaN,NaN
10,traidor,1,E,2.25,1.24,7.15,1.76
10,ojeada,0,Em1,NaN,NaN,NaN,NaN
10,ceguera,0,E,2.75,1.33,6.95,1.39
11,contable,0,Em1,NaN,NaN,NaN,NaN
11,asesino,1,E,2.03,1.27,7.6,1.73
11,nariz,0,Em1,NaN,NaN,NaN,NaN
11,asfixia,0,E,1.3,0.57,8,1.21
11,estadio,0,Em1,NaN,NaN,NaN,NaN
11,terrorista,1,E,1.5,0.88,7.6,1.39
11,transmisi�n,1,Em1,NaN,NaN,NaN,NaN
11,sida,1,E,1.45,0.69,7.35,1.46
11,paisaje,0,Em1,NaN,NaN,NaN,NaN
11,plaga,0,E,2.3,1.17,7,1.52
11,novela,1,Em1,NaN,NaN,NaN,NaN
11,crimen,1,E,2.15,1.17,7.9,1.17
11,pantorrilla,0,Em1,NaN,NaN,NaN,NaN
11,amputacion,1,E,2.1,1.17,7.1,1.45
11,asociaci�n,0,Em1,NaN,NaN,NaN,NaN
11,masacre,1,E,1.3,0.57,6.9,2.15
11,inteligencia,1,Em1,NaN,NaN,NaN,NaN
11,tumor,1,E,1.33,0.69,7.45,1.05
11,reflectante,1,Em1,NaN,NaN,NaN,NaN
11,cancer,1,E,1.23,0.73,7.8,1.24
11,cena,1,Em1,NaN,NaN,NaN,NaN
11,hambruna,1,E,1.95,1.31,7.35,1.18
11,viaje,1,Em1,NaN,NaN,NaN,NaN
11,nazi,1,E,1.6,0.88,7.95,1.28
11,casillero,0,Em1,NaN,NaN,NaN,NaN
11,morgue,1,E,2.9,1.95,6.17,1.93
11,rascacielos,1,Em1,NaN,NaN,NaN,NaN
11,suicida,1,E,2.15,1.39,7.65,1.04
11,cuerpo,1,Em1,NaN,NaN,NaN,NaN
11,sufrimiento,1,E,1.95,1.15,8.3,0.86
11,individuo,0,Em1,NaN,NaN,NaN,NaN
11,traidor,1,E,2.25,1.24,7.15,1.76
11,ojo,0,Em1,NaN,NaN,NaN,NaN
