oddballtype,relativerecall,SOA,subject
Emotional,0.166666666666667,1,46
Emotional,0.625,2,46
Emotional,0.555555555555556,2,46
Emotional,1,4,46
Emotional,0.727272727272727,2,46
Emotional,0.5,4,47
Emotional,0.428571428571429,3,47
Emotional,0.125,6,47
Emotional,0.909090909090909,2,47
Emotional,0.2,6,47
Emotional,0.571428571428571,3,47
Emotional,0.166666666666667,4,47
Emotional,0.5,2,47
Emotional,0.666666666666667,6,47
Emotional,0.25,1,47
Emotional,1,2,47
Emotional,0.166666666666667,1,47
Emotional,0.5,6,47
Emotional,0.4,3,47
Emotional,0.833333333333333,3,47
Emotional,0.142857142857143,4,48
Emotional,0.5,2,48
Emotional,0.571428571428571,2,48
Emotional,0.625,4,48
Emotional,0.8,6,48
Emotional,0.7,6,48
Emotional,0.857142857142857,3,48
Emotional,0.857142857142857,2,48
Emotional,0.571428571428571,6,48
Emotional,0.5,1,49
Emotional,0.833333333333333,4,49
Emotional,0.833333333333333,1,49
Emotional,0.545454545454545,6,49
Emotional,0.2,3,49
Emotional,1,3,49
Emotional,0.857142857142857,3,49
Emotional,0.5,1,49
Emotional,0.714285714285714,6,49
Emotional,0.6,4,49
Emotional,0.714285714285714,2,49
Emotional,0.666666666666667,1,49
Emotional,0.4,2,49
Emotional,0.666666666666667,3,49
Emotional,0.666666666666667,4,50
Emotional,0.2,4,50
Emotional,0.428571428571429,1,50
Emotional,0.555555555555556,4,50
Emotional,0.666666666666667,1,50
Emotional,0.777777777777778,2,50
Emotional,0.625,4,50
Emotional,0.875,3,50
Emotional,0.888888888888889,6,50
Emotional,0.166666666666667,3,50
Emotional,0.7,2,50
Emotional,0.416666666666667,6,50
Emotional,0.636363636363636,6,50
Emotional,0.857142857142857,6,50
Emotional,0.142857142857143,3,51
Emotional,0.75,3,51
Emotional,1,6,51
Emotional,0.909090909090909,4,51
Emotional,0.888888888888889,1,51
Emotional,1,6,51
Emotional,0.4,6,51
Emotional,0.727272727272727,2,51
Emotional,0.727272727272727,4,51
Emotional,0.454545454545455,3,51
Emotional,0.444444444444444,4,51
Emotional,0.444444444444444,6,51
Emotional,0.5,2,51
Emotional,0.5,1,52
Emotional,0.4,4,52
Emotional,1,1,52
Emotional,0.333333333333333,2,52
Emotional,0.6,2,52
Emotional,0.75,4,52
Emotional,0.833333333333333,6,52
Emotional,0.2,3,52
Emotional,1,1,52
Emotional,1,3,52
Emotional,0.285714285714286,1,52
Emotional,0.555555555555556,2,52
Emotional,0.428571428571429,4,52
Emotional,0.125,3,53
Emotional,0.166666666666667,4,53
Emotional,0.5,3,53
Emotional,0.888888888888889,6,53
Emotional,0.5,3,53
Emotional,0.5,6,53
Emotional,0.777777777777778,3,53
Emotional,0.375,6,53
Emotional,0.727272727272727,4,53
Emotional,0.5,2,53
Emotional,0.444444444444444,4,53
Emotional,0.75,4,53
Emotional,0.285714285714286,3,54
Emotional,0.5,6,54
Emotional,0.5,2,54
Emotional,0.545454545454545,3,54
Emotional,0.875,2,54
Emotional,0.333333333333333,4,54
Emotional,0.833333333333333,6,54
Emotional,0.777777777777778,4,54
Emotional,0.444444444444444,6,54
Emotional,0.333333333333333,1,54
Emotional,0.75,4,54
Emotional,0.111111111111111,2,54
Emotional,0.444444444444444,3,54
Emotional,0.375,1,54
Emotional,0.727272727272727,6,54
Emotional,0.8,1,54
Emotional,0.5,2,54
Emotional,0.111111111111111,4,55
Emotional,0.142857142857143,6,55
Emotional,0.636363636363636,4,55
Emotional,0.25,3,55
Emotional,1,2,55
Emotional,0.222222222222222,6,55
Emotional,0.8,2,55
Emotional,0.571428571428571,4,55
Emotional,0.75,3,55
Emotional,0.666666666666667,6,55
Emotional,0.5,3,56
Emotional,0.857142857142857,4,56
Emotional,0.666666666666667,6,56
Emotional,1,6,56
Emotional,0.666666666666667,3,56
Emotional,1,6,56
Emotional,0.625,2,56
Emotional,0.9,4,56
Emotional,0.5,4,56
Emotional,0.666666666666667,3,57
Emotional,0.625,4,57
Emotional,1,2,57
Emotional,1,4,57
Emotional,0.5,4,57
Emotional,1,4,57
Emotional,0.8,1,57
Emotional,1,3,58
Emotional,0.5,1,58
Emotional,0.166666666666667,6,58
Emotional,1,3,58
Emotional,0.777777777777778,6,58
Emotional,1,1,58
Emotional,0.6,2,58
Emotional,1,3,58
Emotional,0.714285714285714,6,58
Emotional,0.75,4,58
Emotional,0.5,4,58
Emotional,0.833333333333333,3,58
Emotional,0.6,4,58
Emotional,1,4,58
Emotional,0.833333333333333,2,59
Emotional,1,6,59
Emotional,0.111111111111111,3,59
Emotional,0.333333333333333,2,59
Emotional,0.875,6,59
Emotional,0.777777777777778,3,59
Emotional,0.909090909090909,2,59
Emotional,1,3,59
Emotional,0.888888888888889,4,59
Emotional,0.6,6,59
Emotional,1,3,60
Emotional,0.571428571428571,4,60
Emotional,0.5,6,60
Emotional,0.625,2,60
Emotional,0.5,1,60
Emotional,0.125,2,60
Emotional,0.833333333333333,4,60
Emotional,0.714285714285714,3,60
Emotional,0.5,1,60
Emotional,0.285714285714286,4,60
Emotional,0.833333333333333,4,60
Emotional,0.166666666666667,3,60
Emotional,0.333333333333333,6,60
Emotional,0.4,2,61
Emotional,1,6,61
Emotional,0.285714285714286,3,61
Emotional,0.166666666666667,6,61
Emotional,0.444444444444444,6,61
Emotional,0.428571428571429,3,61
