subject,oddballtype,recall,sp,pfr
5,Emotional,remembered,7,0.0833333333333333
6,Emotional,remembered,7,0.0909090909090909
7,Emotional,remembered,7,0
9,Emotional,remembered,7,0.0714285714285714
10,Emotional,remembered,7,0.0769230769230769
11,Emotional,remembered,7,0
12,Emotional,remembered,7,0
14,Emotional,remembered,7,0
15,Emotional,remembered,7,0
16,Emotional,remembered,7,0
17,Emotional,remembered,7,0.222222222222222
18,Emotional,remembered,7,0.117647058823529
19,Emotional,remembered,7,0
20,Emotional,remembered,7,0.181818181818182
21,Emotional,remembered,7,0
22,Emotional,remembered,7,0
23,Emotional,remembered,7,0
24,Emotional,remembered,7,0.0909090909090909
25,Emotional,remembered,7,0
26,Emotional,remembered,7,0.222222222222222
27,Emotional,remembered,7,0.0666666666666667
28,Emotional,remembered,7,0.25
29,Emotional,remembered,7,0
30,Emotional,remembered,7,0
31,Emotional,remembered,7,0.0666666666666667
32,Emotional,remembered,7,0
33,Emotional,remembered,7,0.0666666666666667
34,Emotional,remembered,7,0.0714285714285714
35,Emotional,remembered,7,0
36,Emotional,remembered,7,0.0769230769230769
37,Emotional,remembered,7,0.142857142857143
38,Emotional,remembered,7,0.0909090909090909
39,Emotional,remembered,7,0
40,Emotional,remembered,7,0.117647058823529
41,Emotional,remembered,7,0.214285714285714
42,Emotional,remembered,7,0.0666666666666667
43,Emotional,remembered,7,0.0833333333333333
44,Emotional,remembered,7,0
45,Emotional,remembered,7,0
46,Emotional,remembered,7,0
47,Emotional,remembered,7,0.133333333333333
48,Emotional,remembered,7,0
49,Emotional,remembered,7,0
50,Emotional,remembered,7,0.142857142857143
51,Emotional,remembered,7,0.0769230769230769
52,Emotional,remembered,7,0.153846153846154
53,Emotional,remembered,7,0
54,Emotional,remembered,7,0.0588235294117647
55,Emotional,remembered,7,0.1
56,Emotional,remembered,7,0.111111111111111
57,Emotional,remembered,7,0
58,Emotional,remembered,7,0.142857142857143
59,Emotional,remembered,7,0.1
60,Emotional,remembered,7,0.0769230769230769
61,Emotional,remembered,7,0
62,Emotional,remembered,7,0
63,Emotional,remembered,7,0
64,Emotional,remembered,7,0.0714285714285714
65,Emotional,remembered,7,0
66,Emotional,remembered,7,0.125
67,Emotional,remembered,7,0
68,Emotional,remembered,7,0
69,Emotional,remembered,7,0.133333333333333
70,Emotional,remembered,7,0.1
71,Emotional,remembered,7,0.166666666666667
72,Emotional,remembered,7,0
73,Emotional,remembered,7,0.111111111111111
74,Emotional,remembered,7,0
75,Emotional,remembered,7,0.0909090909090909
4,Emotional,remembered,8,0
5,Emotional,remembered,8,0.0833333333333333
6,Emotional,remembered,8,0.0909090909090909
7,Emotional,remembered,8,0
9,Emotional,remembered,8,0.0714285714285714
10,Emotional,remembered,8,0.0769230769230769
11,Emotional,remembered,8,0
12,Emotional,remembered,8,0
14,Emotional,remembered,8,0
15,Emotional,remembered,8,0.0625
16,Emotional,remembered,8,0
17,Emotional,remembered,8,0
18,Emotional,remembered,8,0
19,Emotional,remembered,8,0.0909090909090909
20,Emotional,remembered,8,0
21,Emotional,remembered,8,0
22,Emotional,remembered,8,0
23,Emotional,remembered,8,0
24,Emotional,remembered,8,0
25,Emotional,remembered,8,0.181818181818182
26,Emotional,remembered,8,0.111111111111111
27,Emotional,remembered,8,0.0666666666666667
28,Emotional,remembered,8,0.0833333333333333
29,Emotional,remembered,8,0.0625
30,Emotional,remembered,8,0
31,Emotional,remembered,8,0.0666666666666667
