"","CRPall$CRP"
"139",0.037037037037037
"140",0.0930232558139535
"141",0.0545454545454545
"142",0.0555555555555556
"143",0.116883116883117
"144",0.0714285714285714
"145",0.159420289855072
"146",0.116883116883117
"147",0.0793650793650794
"148",0.12962962962963
"149",0.144927536231884
"150",0.0985915492957746
"151",0.0769230769230769
"152",0.0333333333333333
"153",0.102941176470588
"154",0.0909090909090909
"155",0.177215189873418
"156",0.0563380281690141
"157",0.0615384615384615
"158",0.135135135135135
"159",0.114285714285714
"160",0.09375
"161",0.195121951219512
"162",0.0649350649350649
"163",0.0845070422535211
"164",0.1
"165",0.0701754385964912
"166",0.0857142857142857
"167",0.115384615384615
"168",0.0634920634920635
"169",0.0789473684210526
"170",0.121212121212121
"171",0.111111111111111
"172",0.128571428571429
"173",0.0126582278481013
"174",0.0714285714285714
"175",0.186666666666667
"176",0.0909090909090909
"177",0.0864197530864197
"178",0.0909090909090909
"179",0.153846153846154
"180",0.0606060606060606
"181",0.0746268656716418
"182",0.125
"183",0.0923076923076923
"184",0.0821917808219178
"185",0.119402985074627
"186",0.136986301369863
"187",0.0983606557377049
"188",0.105263157894737
"189",0.0823529411764706
"190",0.0675675675675676
"191",0.0172413793103448
"192",0.0444444444444444
"193",0.0851063829787234
"194",0.112676056338028
"195",0.126984126984127
"196",0.0983606557377049
"197",0.0285714285714286
"198",0.158730158730159
"199",0.1125
"200",0.122448979591837
"201",0.0806451612903226
"202",0.12987012987013
"203",0.0483870967741935
"204",0.112676056338028
"205",0.0327868852459016
"206",0.148936170212766
"207",0.122448979591837
"208",0.155172413793103
"209",0.0967741935483871
"210",0.111111111111111
"211",0.0892857142857143
"212",0.0833333333333333
"213",0.180722891566265
"214",0.0864197530864197
"215",0.0958904109589041
"216",0.0609756097560976
"217",0.08
"218",0.0597014925373134
"219",0.103896103896104
"220",0.155844155844156
"221",0.107142857142857
"222",0.0757575757575758
"223",0.136363636363636
"224",0.1
"225",0.0975609756097561
"226",0.0886075949367089
"227",0.121621621621622
"228",0.186046511627907
"229",0.108108108108108
"230",0.0704225352112676
"231",0.163265306122449
"232",0.136363636363636
"233",0.0434782608695652
"234",0.112903225806452
"235",0.0746268656716418
"236",0.0675675675675676
"237",0.116279069767442
"238",0.0746268656716418
"239",0.115789473684211
"240",0.0985915492957746
"241",0.0958904109589041
"242",0.072289156626506
"243",0.119047619047619
"244",0.111111111111111
"245",0.0769230769230769
"246",0.10958904109589
"247",0.115789473684211
"248",0.151898734177215
"249",0.0943396226415094
"250",0.125
"251",0.0512820512820513
"252",0.115942028985507
"253",0.0819672131147541
"254",0.105263157894737
"255",0.113924050632911
"256",0.107142857142857
"257",0.112903225806452
"258",0.215384615384615
"259",0.10989010989011
"260",0.075
"261",0.0909090909090909
"262",0.0769230769230769
"263",0.0740740740740741
"264",0.0694444444444444
"265",0.125
"266",0.0857142857142857
"267",0.162790697674419
"268",0.0684931506849315
"269",0.103896103896104
"270",0.111111111111111
"271",0.107692307692308
"272",0.19047619047619
"273",0.126760563380282
"274",0.0987654320987654
"275",0.0735294117647059
"276",0.102040816326531
"277",0.102040816326531
"278",0.0307692307692308
"279",0.138888888888889
