oddballtype,relativerecall,SOA,subject
Perceptual,0.41667,3,44
Perceptual,0.6,4,44
Perceptual,0.70833,6,44
Emotional,0.75,1,45
Emotional,0.76805,2,45
Emotional,0.75,3,45
Emotional,0.66667,4,45
Emotional,0.4532,6,45
Perceptual,0.28571,1,45
Perceptual,0.66667,2,45
Perceptual,0.64048,3,45
Perceptual,0.625,4,45
Perceptual,0.88333,6,45
Emotional,0.16667,1,46
Emotional,0.63594,2,46
Emotional,0.59855,3,46
Emotional,0.875,4,46
Emotional,0.75455,6,46
Perceptual,1,1,46
Perceptual,0.41488,2,46
Perceptual,0.62037,3,46
Perceptual,0.34603,4,46
Perceptual,0.45695,6,46
Emotional,0.20833,1,47
Emotional,0.80303,2,47
Emotional,0.55833,3,47
Emotional,0.33333,4,47
Emotional,0.37292,6,47
Perceptual,0.4746,1,47
Perceptual,0.46825,2,47
Perceptual,0.37699,3,47
Perceptual,0.2,4,47
Perceptual,0.52084,6,47
Emotional,,1,48
Emotional,0.64286,2,48
Emotional,0.85714,3,48
Emotional,0.38393,4,48
Emotional,0.69048,6,48
Perceptual,0.33333,1,48
Perceptual,0.56945,2,48
Perceptual,0.4881,3,48
Perceptual,0.67461,4,48
Perceptual,0.35402,6,48
Emotional,0.625,1,49
Emotional,0.55715,2,49
Emotional,0.68095,3,49
Emotional,0.71666,4,49
Emotional,0.62987,6,49
Perceptual,0.41667,1,49
Perceptual,0.48254,2,49
Perceptual,1,3,49
Perceptual,0.49074,4,49
Perceptual,0.72121,6,49
Emotional,0.68254,1,5
Emotional,0.55,2,5
Emotional,0.50556,3,5
Emotional,0.68254,4,5
Emotional,0.42857,6,5
Perceptual,0.5,1,5
Perceptual,0.55556,2,5
Perceptual,0.48572,3,5
Perceptual,0.73333,4,5
Perceptual,0.66667,6,5
Emotional,0.54762,1,50
Emotional,0.73889,2,50
Emotional,0.52084,3,50
Emotional,0.51181,4,50
Emotional,0.69976,6,50
Perceptual,1,1,50
Perceptual,0.2,2,50
Perceptual,0.78355,3,50
Perceptual,0.64935,4,50
Perceptual,0.89815,6,50
Emotional,0.88889,1,51
Emotional,0.61363,2,51
Emotional,0.44914,3,51
Emotional,0.6936,4,51
Emotional,0.71111,6,51
Perceptual,0.72222,1,51
Perceptual,0.56193,2,51
Perceptual,0.3,3,51
Perceptual,0.69406,4,51
Perceptual,0.9188,6,51
Emotional,0.69643,1,52
Emotional,0.4963,2,52
Emotional,0.6,3,52
Emotional,0.52619,4,52
Emotional,0.83333,6,52
Perceptual,0.5,1,52
Perceptual,0.56349,2,52
Perceptual,0.54545,3,52
Perceptual,0.92857,4,52
Perceptual,0.3,6,52
Emotional,,1,53
Emotional,0.5,2,53
Emotional,0.47569,3,53
Emotional,0.52209,4,53
Emotional,0.58796,6,53
Perceptual,0.375,1,53
Perceptual,0.72292,2,53
Perceptual,0.6746,3,53
Perceptual,0.37663,4,53
Perceptual,0.47917,6,53
Emotional,0.50278,1,54
Emotional,0.49653,2,54
Emotional,0.4252,3,54
Emotional,0.62037,4,54
Emotional,0.62626,6,54
Perceptual,0.18334,1,54
Perceptual,0.67143,2,54
Perceptual,0.5,3,54
Perceptual,0.65227,4,54
Perceptual,,6,54
Emotional,,1,55
Emotional,0.9,2,55
Emotional,0.5,3,55
Emotional,0.43963,4,55
Emotional,0.34392,6,55
Perceptual,0.5254,1,55
