subject,oddballtype,wordposition,SOA,normrec
12,E,m1,1,0.5
14,E,m1,1,-0.25
15,E,m1,1,-0.25
16,E,m1,1,0.25
17,E,m1,1,0.25
18,E,m1,1,0.25
19,E,m1,1,0.25
20,E,m1,1,0
21,E,m1,1,0
22,E,m1,1,-0.75
23,E,m1,1,0.25
24,E,m1,1,0.5
25,E,m1,1,-0.5
26,E,m1,1,0
27,E,m1,1,0
28,E,m1,1,0.25
29,E,m1,1,0
30,E,m1,1,0
31,E,m1,1,-0.25
32,E,m1,1,0.25
33,E,m1,1,0
34,E,m1,1,0.5
35,E,m1,1,0.5
36,E,m1,1,0.25
37,E,m1,1,-0.75
38,E,m1,1,0.75
39,E,m1,1,0
40,E,m1,1,0
41,E,m1,1,0
42,E,m1,1,-0.25
43,E,m1,1,0
44,E,m1,1,0.5
45,E,m1,1,0.25
46,E,m1,1,0
47,E,m1,1,0.5
48,E,m1,1,0
49,E,m1,1,-0.25
50,E,m1,1,-0.5
51,E,m1,1,-0.5
52,E,m1,1,-0.25
53,E,m1,1,-0.25
54,E,m1,1,0.25
55,E,m1,1,-0.25
56,E,m1,1,0.25
57,E,m1,1,0.25
58,E,m1,1,0
59,E,m1,1,0
60,E,m1,1,0
61,E,m1,1,-0.25
62,E,m1,1,-0.5
63,E,m1,1,0
64,E,m1,1,-0.5
65,E,m1,1,-0.25
66,E,m1,1,-0.5
67,E,m1,1,-0.25
68,E,m1,1,0.5
69,E,m1,1,0.5
70,E,m1,1,-0.25
71,E,m1,1,-0.5
72,E,m1,1,-0.25
73,E,m1,1,0
74,E,m1,1,-0.25
75,E,m1,1,-0.5
4,E,odd,1,-0.25
5,E,odd,1,0.5
6,E,odd,1,-0.25
7,E,odd,1,0
9,E,odd,1,0.25
10,E,odd,1,-0.5
11,E,odd,1,0
12,E,odd,1,0.5
14,E,odd,1,0.25
15,E,odd,1,0.25
16,E,odd,1,0.25
17,E,odd,1,-0.25
18,E,odd,1,0.25
19,E,odd,1,0.25
20,E,odd,1,0
21,E,odd,1,0
22,E,odd,1,-0.75
23,E,odd,1,0.25
24,E,odd,1,0.5
25,E,odd,1,0
26,E,odd,1,0.25
27,E,odd,1,0.75
28,E,odd,1,0.75
29,E,odd,1,0.75
30,E,odd,1,0.25
31,E,odd,1,0.25
32,E,odd,1,0.25
33,E,odd,1,0.75
34,E,odd,1,0.5
35,E,odd,1,0.25
36,E,odd,1,-0.25
37,E,odd,1,-0.5
38,E,odd,1,1
39,E,odd,1,0.75
40,E,odd,1,0
41,E,odd,1,0.25
42,E,odd,1,0
43,E,odd,1,-0.25
44,E,odd,1,0.25
45,E,odd,1,0.5
46,E,odd,1,0
47,E,odd,1,0.25
48,E,odd,1,-0.25
49,E,odd,1,0.5
50,E,odd,1,0
51,E,odd,1,-0.75
52,E,odd,1,0.5
53,E,odd,1,-0.25
54,E,odd,1,0.5
55,E,odd,1,-0.25
56,E,odd,1,-0.25
57,E,odd,1,-0.25
58,E,odd,1,0.5
59,E,odd,1,-0.25
60,E,odd,1,0.25
61,E,odd,1,-0.5
62,E,odd,1,-0.5
63,E,odd,1,-0.75
64,E,odd,1,-0.75
65,E,odd,1,0
66,E,odd,1,-0.75
67,E,odd,1,0.5
68,E,odd,1,0.75
69,E,odd,1,0.5
70,E,odd,1,0
71,E,odd,1,0
72,E,odd,1,-0.25
73,E,odd,1,-0.25
74,E,odd,1,0
75,E,odd,1,-0.25
4,E,p1,1,-0.25
5,E,p1,1,0.5
6,E,p1,1,0
7,E,p1,1,-0.25
9,E,p1,1,0
