E_lag1_F,E_lag2_F,E_lag3_F,E_lag4_F,E_lag5_F,E_lag1_B,E_lag2_B,E_lag3_B,E_lag4_B,E_lag5_B,P_lag1_F,P_lag2_F,P_lag3_F,P_lag4_F,P_lag5_F,P_lag1_B,P_lag2_B,P_lag3_B,P_lag4_B,P_lag5_B,1_F,1_B
0.216494845,0.154761905,0.098765432,0.060606061,0.092307692,0.096385542,0.088607595,0.056338028,0.101449275,0.048387097,0.191489362,0.122222222,0.053333333,0.131578947,0.057971014,0.139534884,0.097560976,0.127906977,0.066666667,0.03125,0.203992104,0.117960213
0.203389831,0.109090909,0.066666667,0.120879121,0.078651685,0.125,0.121621622,0.061538462,0.104477612,0.1875,0.277777778,0.13559322,0.115044248,0.075471698,0.103092784,0.137931034,0.153846154,0.121212121,0.112903226,0.16,0.240583805,0.131465517
0.254237288,0.072727273,0.156862745,0.081632653,0.045454545,0.111111111,0.186046512,0.135135135,0.129032258,0.137931034,0.225806452,0.074074074,0.24,0.086956522,0.08,0.105263158,0.157894737,0.133333333,0.133333333,0.1,0.24002187,0.108187135
0.108108108,0.123287671,0.101694915,0.107142857,0.019607843,0.074074074,0.108108108,0.114285714,0.106060606,0.068965517,0.148148148,0.160493827,0.109589041,0.061538462,0.081967213,0.077922078,0.072463768,0.092307692,0.1,0.056603774,0.128128128,0.075998076
0.131578947,0.066666667,0.057971014,0.05,0.092592593,0.097560976,0.070422535,0.09375,0.15,0.137254902,0.25,0.12,0.060606061,0.186440678,0.037037037,0.097222222,0.081081081,0.044776119,0.101694915,0.058823529,0.190789474,0.097391599
0.142857143,0.078431373,0.098039216,0.021276596,0.086956522,0.039215686,0.163265306,0.195121951,0.054054054,0.066666667,0.204301075,0.130434783,0.160493827,0.04109589,0.078125,0.12987013,0.083333333,0.06557377,0.017857143,0.071428571,0.173579109,0.084542908
0.15,0.098901099,0.120481928,0.126582278,0.117647059,0.134831461,0.136363636,0.064935065,0.106060606,0.125,0.1625,0.08,0.027777778,0.051724138,0.080645161,0.126436782,0.103896104,0.136363636,0.229508197,0.137931034,0.15625,0.130634122
0.088607595,0.17721519,0.104477612,0.109090909,0.153846154,0.197368421,0.043478261,0.084507042,0.074626866,0.049180328,0.130952381,0.08,0.084507042,0.153846154,0.016129032,0.189873418,0.1,0.14084507,0.035714286,0.072727273,0.109779988,0.19362092
0.128571429,0.109375,0.127272727,0.065217391,0.051282051,0.063492063,0.112903226,0.1,0.086206897,0.084745763,0.108108108,0.074626866,0.071428571,0.094339623,0.06,0.147058824,0.089552239,0.125,0.072727273,0.08,0.118339769,0.105275444
0.071428571,0.153846154,0.169491525,0.111111111,0.137254902,0.098591549,0.074626866,0.070175439,0.185185185,0.083333333,0.1,0.101265823,0.089552239,0.086956522,0.080645161,0.123595506,0.146341463,0.048192771,0.084507042,0.046875,0.085714286,0.111093528
