"","fig4res"
"207",-0.01558908045977
"208",-0.26558908045977
"211",0.342578125000001
"212",0.00924479166666664
"213",0.00924479166666664
"214",0.00924479166666664
"215",-0.101866319444444
"216",-0.124088541666666
"217",0.00924479166666664
"218",-0.190755208333333
"219",0.675911458333334
"220",0.342578125000001
"221",0.675911458333334
"222",0.175911458333334
"223",-0.0740885416666663
"224",0.175911458333334
"225",0.175911458333334
"226",-0.224088541666666
"227",0.175911458333334
"228",0.675911458333334
"230",0.175911458333334
"231",0.175911458333334
"233",-0.124088541666666
"234",0.175911458333334
"235",-0.324088541666666
"236",-0.324088541666666
"237",-0.0740885416666663
"239",-0.0740885416666663
"240",-0.324088541666666
"241",-0.124088541666666
"242",-0.324088541666666
"243",0.675911458333334
"244",-0.0574218749999993
"245",0.00924479166666664
"247",-0.224088541666666
"248",0.175911458333334
"249",0.175911458333334
"250",0.175911458333334
"251",-0.324088541666666
"252",-0.324088541666666
"253",-0.324088541666666
"254",0.175911458333334
"255",0.287022569444445
"256",-0.124088541666666
"257",-0.0740885416666663
"258",-0.324088541666666
"259",-0.324088541666666
"261",-0.324088541666666
"262",0.675911458333334
"263",0.175911458333334
"264",-0.324088541666666
"265",0.342578125000001
"266",-0.324088541666666
"268",-0.157421874999999
"269",0.00924479166666664
"270",0.175911458333334
"271",-0.324088541666666
"272",-0.0240885416666664
"273",-0.0740885416666663
"274",-0.199088541666666
"275",0.00924479166666664
"276",-0.324088541666666
"277",-0.324088541666666
"278",-0.324088541666666
"279",0.175911458333334
"280",0.00924479166666664
"281",-0.293518518518518
"283",0.706481481481482
"285",0.373148148148149
"286",-0.0435185185185184
"287",-0.168518518518518
"288",0.0398148148148146
"289",0.206481481481482
"290",-0.293518518518518
"291",0.0398148148148146
"292",-0.293518518518518
"293",-0.0935185185185184
"294",0.706481481481482
"296",-0.293518518518518
"298",0.0814814814814816
"301",-0.0435185185185184
"302",-0.126851851851851
"304",0.0398148148148146
"305",0.206481481481482
"306",0.206481481481482
"307",0.206481481481482
"308",-0.0435185185185184
"309",0.0731481481481486
"310",-0.168518518518518
"311",0.456481481481482
"312",-0.182407407407407
"313",0.0398148148148146
"314",-0.293518518518518
"315",0.456481481481482
"317",-0.293518518518518
